ONTOLOGY	ID	Description	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0090398	cellular senescence	108/18614	6.60E-05	0.002488228	0.001276747	HMGA2/SRF/CITED2	3
BP	GO:0060840	artery development	109/18614	6.78E-05	0.002488228	0.001276747	SRF/CITED2/FOXC1	3
BP	GO:0060485	mesenchyme development	320/18614	7.49E-05	0.002641087	0.001355181	CDH2/HMGA2/CITED2/FOXC1	4
BP	GO:0001829	trophectodermal cell differentiation	19/18614	8.92E-05	0.003028609	0.001554024	SRF/CITED2	2
BP	GO:0043010	camera-type eye development	338/18614	9.26E-05	0.003031876	0.001555701	SRF/CITED2/CYP1B1/FOXC1	4
BP	GO:0003206	cardiac chamber morphogenesis	126/18614	0.000104388	0.003266539	0.00167611	SRF/CITED2/FOXC1	3
BP	GO:0001704	formation of primary germ layer	127/18614	0.000106866	0.003266539	0.00167611	HMGA2/SRF/FOXC1	3
BP	GO:0002244	hematopoietic progenitor cell differentiation	132/18614	0.000119834	0.003544764	0.001818871	SRF/CITED2/FOXC1	3
BP	GO:0030336	negative regulation of cell migration	375/18614	0.000138277	0.003962504	0.00203322	SRF/MIR335/CITED2/CYP1B1	4
BP	GO:0001654	eye development	385/18614	0.000153026	0.003985577	0.002045059	SRF/CITED2/CYP1B1/FOXC1	4
BP	GO:0008584	male gonad development	144/18614	0.000155047	0.003985577	0.002045059	CRKL/CITED2/CYP1B1	3
BP	GO:0046546	development of primary male sexual characteristics	145/18614	0.000158252	0.003985577	0.002045059	CRKL/CITED2/CYP1B1	3
BP	GO:0150063	visual system development	389/18614	0.000159234	0.003985577	0.002045059	SRF/CITED2/CYP1B1/FOXC1	4
BP	GO:2000146	negative regulation of cell motility	390/18614	0.000160814	0.003985577	0.002045059	SRF/MIR335/CITED2/CYP1B1	4
BP	GO:0048880	sensory system development	395/18614	0.000168887	0.004075502	0.0020912	SRF/CITED2/CYP1B1/FOXC1	4
BP	GO:0045786	negative regulation of cell cycle	404/18614	0.000184154	0.004329989	0.002221782	MAP3K20/BTG3/FOXC1/CCNG1	4
BP	GO:0030325	adrenal gland development	28/18614	0.00019636	0.004501557	0.002309816	CITED2/CYP1B1	2
BP	GO:0003002	regionalization	422/18614	0.000217663	0.004868229	0.00249796	CRKL/SRF/CITED2/FOXC1	4
BP	GO:0040013	negative regulation of locomotion	427/18614	0.000227707	0.004971597	0.002551	SRF/MIR335/CITED2/CYP1B1	4
BP	GO:0003205	cardiac chamber development	166/18614	0.000235867	0.005030005	0.002580971	SRF/CITED2/FOXC1	3
BP	GO:0046661	male sex differentiation	168/18614	0.000244332	0.005092092	0.002612828	CRKL/CITED2/CYP1B1	3
BP	GO:0021543	pallium development	184/18614	0.000319226	0.006363272	0.00326509	CRKL/CDH2/SRF	3
BP	GO:0007389	pattern specification process	467/18614	0.000320554	0.006363272	0.00326509	CRKL/SRF/CITED2/FOXC1	4
BP	GO:0060218	hematopoietic stem cell differentiation	36/18614	0.000326144	0.006363272	0.00326509	SRF/FOXC1	2
BP	GO:0001941	postsynaptic membrane organization	37/18614	0.000344632	0.006583915	0.003378304	CRKL/CDH2	2
BP	GO:0048821	erythrocyte development	39/18614	0.000383113	0.007011399	0.003597653	SRF/CITED2	2
BP	GO:0007369	gastrulation	196/18614	0.000384179	0.007011399	0.003597653	HMGA2/SRF/FOXC1	3
BP	GO:0002520	immune system development	197/18614	0.000389947	0.007011399	0.003597653	CRKL/SRF/CITED2	3
BP	GO:0099068	postsynapse assembly	40/18614	0.000403104	0.007108576	0.003647516	CRKL/CDH2	2
BP	GO:0009952	anterior/posterior pattern specification	209/18614	0.000463566	0.008020573	0.004115475	CRKL/SRF/FOXC1	3
BP	GO:0099084	postsynaptic specialization organization	44/18614	0.000488053	0.008287857	0.004252623	CRKL/CDH2	2
BP	GO:0001825	blastocyst formation	45/18614	0.000510533	0.008511984	0.004367625	SRF/CITED2	2
BP	GO:0033628	regulation of cell adhesion mediated by integrin	49/18614	0.00060541	0.009913595	0.005086813	CRKL/CYP1B1	2
BP	GO:0060348	bone development	235/18614	0.000652456	0.010368618	0.005320292	SRF/CITED2/FOXC1	3
BP	GO:0043113	receptor clustering	51/18614	0.000655812	0.010368618	0.005320292	CRKL/CDH2	2
BP	GO:0009636	response to toxic substance	242/18614	0.000710564	0.010990642	0.005639462	SRF/MIR186/CYP1B1	3
BP	GO:0048738	cardiac muscle tissue development	243/18614	0.000719126	0.010990642	0.005639462	SRF/CITED2/FOXC1	3
BP	GO:0014706	striated muscle tissue development	259/18614	0.000865223	0.013006718	0.00667394	SRF/CITED2/FOXC1	3
BP	GO:0060038	cardiac muscle cell proliferation	61/18614	0.000937248	0.013862206	0.007112904	CITED2/FOXC1	2
BP	GO:0021537	telencephalon development	270/18614	0.000975891	0.014204636	0.007288609	CRKL/CDH2/SRF	3
BP	GO:0030199	collagen fibril organization	64/18614	0.00103118	0.014774875	0.007581208	CYP1B1/FOXC1	2
BP	GO:0001947	heart looping	65/18614	0.001063459	0.015002951	0.007698237	SRF/CITED2	2
BP	GO:0061371	determination of heart left/right asymmetry	70/18614	0.001232088	0.017118558	0.008783786	SRF/CITED2	2
BP	GO:0003143	embryonic heart tube morphogenesis	71/18614	0.001267256	0.01734439	0.008899664	SRF/CITED2	2
BP	GO:0048872	homeostasis of number of cells	304/18614	0.001373736	0.01852523	0.00950557	CDH2/SRF/CITED2	3
BP	GO:0014855	striated muscle cell proliferation	81/18614	0.001645197	0.02155208	0.011058692	CITED2/FOXC1	2
BP	GO:0044773	mitotic DNA damage checkpoint signaling	81/18614	0.001645197	0.02155208	0.011058692	MAP3K20/CCNG1	2
BP	GO:0048638	regulation of developmental growth	328/18614	0.001708361	0.022064326	0.011321533	SRF/CITED2/FOXC1	3
BP	GO:0061515	myeloid cell development	84/18614	0.001767831	0.022515293	0.011552931	SRF/CITED2	2
BP	GO:0044774	mitotic DNA integrity checkpoint signaling	85/18614	0.001809652	0.022732205	0.011664232	MAP3K20/CCNG1	2
BP	GO:0021766	hippocampus development	86/18614	0.001851944	0.022949085	0.011775516	CRKL/SRF	2
BP	GO:0033627	cell adhesion mediated by integrin	87/18614	0.001894705	0.023165926	0.011886781	CRKL/CYP1B1	2
BP	GO:0045765	regulation of angiogenesis	349/18614	0.002039924	0.024613293	0.012629446	HMGA2/CYP1B1/FOXC1	3
BP	GO:0009798	axis specification	92/18614	0.002115537	0.024858106	0.012755063	SRF/CITED2	2
BP	GO:0055017	cardiac muscle tissue growth	92/18614	0.002115537	0.024858106	0.012755063	CITED2/FOXC1	2
BP	GO:1901342	regulation of vasculature development	355/18614	0.002141538	0.024858106	0.012755063	HMGA2/CYP1B1/FOXC1	3
BP	GO:0051098	regulation of binding	369/18614	0.002390848	0.02740509	0.014061959	HMGA2/MIR148A/FOXC1	3
BP	GO:0060349	bone morphogenesis	99/18614	0.00244426	0.02767144	0.014198627	CITED2/FOXC1	2
BP	GO:0060419	heart growth	100/18614	0.002493072	0.027879847	0.014305563	CITED2/FOXC1	2
BP	GO:0046620	regulation of organ growth	102/18614	0.00259208	0.028637796	0.014694478	CITED2/FOXC1	2
BP	GO:0021549	cerebellum development	105/18614	0.002744038	0.029955746	0.015370738	CRKL/FOXC1	2
BP	GO:0030900	forebrain development	397/18614	0.002942236	0.031596638	0.016212704	CRKL/CDH2/SRF	3
BP	GO:0001701	in utero embryonic development	398/18614	0.002963262	0.031596638	0.016212704	SRF/CITED2/FOXC1	3
BP	GO:0021761	limbic system development	115/18614	0.003280242	0.034181609	0.017539091	CRKL/SRF	2
BP	GO:0022037	metencephalon development	115/18614	0.003280242	0.034181609	0.017539091	CRKL/FOXC1	2
BP	GO:0001824	blastocyst development	116/18614	0.003336357	0.034375727	0.017638696	SRF/CITED2	2
BP	GO:0051101	regulation of DNA binding	120/18614	0.003565327	0.036180527	0.018564765	HMGA2/FOXC1	2
BP	GO:0060537	muscle tissue development	426/18614	0.003590434	0.036180527	0.018564765	SRF/CITED2/FOXC1	3
BP	GO:0000077	DNA damage checkpoint signaling	123/18614	0.003741768	0.037295665	0.01913696	MAP3K20/CCNG1	2
BP	GO:0003231	cardiac ventricle development	126/18614	0.003922232	0.037958552	0.019477097	CITED2/FOXC1	2
BP	GO:0021987	cerebral cortex development	126/18614	0.003922232	0.037958552	0.019477097	CRKL/CDH2	2
BP	GO:0009410	response to xenobiotic stimulus	440/18614	0.003932456	0.037958552	0.019477097	CRKL/MIR186/CYP1B1	3
BP	GO:0034329	cell junction assembly	444/18614	0.004033734	0.03853056	0.019770602	CRKL/CDH2/SRF	3
BP	GO:0007368	determination of left/right symmetry	129/18614	0.004106703	0.038823159	0.019920739	SRF/CITED2	2
BP	GO:0030218	erythrocyte differentiation	130/18614	0.00416908	0.038996682	0.020009777	SRF/CITED2	2
BP	GO:0010975	regulation of neuron projection development	452/18614	0.004241085	0.038996682	0.020009777	CRKL/CDH2/SRF	3
BP	GO:0048568	embryonic organ development	453/18614	0.004267456	0.038996682	0.020009777	SRF/CITED2/FOXC1	3
BP	GO:0031570	DNA integrity checkpoint signaling	132/18614	0.004295163	0.038996682	0.020009777	MAP3K20/CCNG1	2
BP	GO:0060972	left/right pattern formation	134/18614	0.004423013	0.03976375	0.020403371	SRF/CITED2	2
BP	GO:0009855	determination of bilateral symmetry	139/18614	0.004750331	0.041672534	0.021382796	SRF/CITED2	2
BP	GO:0034101	erythrocyte homeostasis	139/18614	0.004750331	0.041672534	0.021382796	SRF/CITED2	2
BP	GO:0007093	mitotic cell cycle checkpoint signaling	140/18614	0.004817109	0.041672534	0.021382796	MAP3K20/CCNG1	2
BP	GO:0009799	specification of symmetry	140/18614	0.004817109	0.041672534	0.021382796	SRF/CITED2	2
BP	GO:0001667	ameboidal-type cell migration	496/18614	0.005498479	0.047122475	0.024179242	CDH2/SRF/CYP1B1	3
BP	GO:0050770	regulation of axonogenesis	155/18614	0.005870852	0.049721786	0.025512987	CDH2/SRF	2
BP	GO:0007584	response to nutrient	156/18614	0.005944546	0.049721786	0.025512987	SRF/CYP1B1	2
BP	GO:0007043	cell-cell junction assembly	157/18614	0.006018668	0.049721786	0.025512987	CDH2/SRF	2
BP	GO:0030902	hindbrain development	157/18614	0.006018668	0.049721786	0.025512987	CRKL/FOXC1	2
BP	GO:0035051	cardiocyte differentiation	161/18614	0.006319414	0.051740201	0.026548666	SRF/CITED2	2
BP	GO:0051100	negative regulation of binding	163/18614	0.006472335	0.052523285	0.026950478	HMGA2/MIR148A	2
BP	GO:0007254	JNK cascade	170/18614	0.007020857	0.053752745	0.027581332	MAP3K20/CRKL	2
BP	GO:0002262	myeloid cell homeostasis	171/18614	0.007100898	0.053752745	0.027581332	SRF/CITED2	2
BP	GO:0001837	epithelial to mesenchymal transition	172/18614	0.007181357	0.053752745	0.027581332	HMGA2/FOXC1	2
BP	GO:1905475	regulation of protein localization to membrane	175/18614	0.00742524	0.053752745	0.027581332	CRKL/CDH2	2
BP	GO:0009629	response to gravity	10/18614	0.007497622	0.053752745	0.027581332	CCNG1	1
BP	GO:0035907	dorsal aorta development	10/18614	0.007497622	0.053752745	0.027581332	SRF	1
BP	GO:0048340	paraxial mesoderm morphogenesis	10/18614	0.007497622	0.053752745	0.027581332	FOXC1	1
BP	GO:0060947	cardiac vascular smooth muscle cell differentiation	10/18614	0.007497622	0.053752745	0.027581332	SRF	1
BP	GO:0061299	retina vasculature morphogenesis in camera-type eye	10/18614	0.007497622	0.053752745	0.027581332	CYP1B1	1
BP	GO:0071340	skeletal muscle acetylcholine-gated channel clustering	10/18614	0.007497622	0.053752745	0.027581332	CRKL	1
BP	GO:0071838	cell proliferation in bone marrow	10/18614	0.007497622	0.053752745	0.027581332	HMGA2	1
BP	GO:0097104	postsynaptic membrane assembly	10/18614	0.007497622	0.053752745	0.027581332	CDH2	1
BP	GO:0097201	negative regulation of transcription from RNA polymerase II promoter in response to stress	10/18614	0.007497622	0.053752745	0.027581332	CITED2	1
BP	GO:0097267	omega-hydroxylase P450 pathway	10/18614	0.007497622	0.053752745	0.027581332	CYP1B1	1
BP	GO:0001764	neuron migration	176/18614	0.007507367	0.053752745	0.027581332	CRKL/SRF	2
BP	GO:0019827	stem cell population maintenance	177/18614	0.00758991	0.053752745	0.027581332	CDH2/HMGA2	2
BP	GO:0043534	blood vessel endothelial cell migration	179/18614	0.007756241	0.053752745	0.027581332	SRF/CYP1B1	2
BP	GO:0035265	organ growth	180/18614	0.007840027	0.053752745	0.027581332	CITED2/FOXC1	2
BP	GO:0098727	maintenance of cell number	181/18614	0.007924226	0.053752745	0.027581332	CDH2/HMGA2	2
BP	GO:0042770	signal transduction in response to DNA damage	184/18614	0.008179298	0.053752745	0.027581332	MAP3K20/CCNG1	2
BP	GO:0060433	bronchus development	11/18614	0.008244506	0.053752745	0.027581332	SRF	1
BP	GO:0061418	regulation of transcription from RNA polymerase II promoter in response to hypoxia	11/18614	0.008244506	0.053752745	0.027581332	CITED2	1
BP	GO:0086100	endothelin receptor signaling pathway	11/18614	0.008244506	0.053752745	0.027581332	CRKL	1
BP	GO:0090009	primitive streak formation	11/18614	0.008244506	0.053752745	0.027581332	SRF	1
BP	GO:1900222	negative regulation of amyloid-beta clearance	11/18614	0.008244506	0.053752745	0.027581332	SRF	1
BP	GO:0045766	positive regulation of angiogenesis	185/18614	0.008265144	0.053752745	0.027581332	HMGA2/CYP1B1	2
BP	GO:0099173	postsynapse organization	185/18614	0.008265144	0.053752745	0.027581332	CRKL/CDH2	2
BP	GO:1904018	positive regulation of vasculature development	185/18614	0.008265144	0.053752745	0.027581332	HMGA2/CYP1B1	2
BP	GO:0000075	cell cycle checkpoint signaling	188/18614	0.008525143	0.054964177	0.028202935	MAP3K20/CCNG1	2
BP	GO:0071466	cellular response to xenobiotic stimulus	189/18614	0.008612628	0.054964177	0.028202935	CRKL/CYP1B1	2
BP	GO:0033629	negative regulation of cell adhesion mediated by integrin	12/18614	0.008990869	0.054964177	0.028202935	CYP1B1	1
BP	GO:0043589	skin morphogenesis	12/18614	0.008990869	0.054964177	0.028202935	SRF	1
BP	GO:0060379	cardiac muscle cell myoblast differentiation	12/18614	0.008990869	0.054964177	0.028202935	SRF	1
BP	GO:0071493	cellular response to UV-B	12/18614	0.008990869	0.054964177	0.028202935	MAP3K20	1
BP	GO:0072683	T cell extravasation	12/18614	0.008990869	0.054964177	0.028202935	CRKL	1
BP	GO:1902337	regulation of apoptotic process involved in morphogenesis	12/18614	0.008990869	0.054964177	0.028202935	FOXC1	1
BP	GO:1903977	positive regulation of glial cell migration	12/18614	0.008990869	0.054964177	0.028202935	CRKL	1
BP	GO:0007416	synapse assembly	197/18614	0.009327146	0.056509889	0.028996063	CRKL/CDH2	2
BP	GO:1900121	negative regulation of receptor binding	13/18614	0.009736709	0.056509889	0.028996063	MIR148A	1
BP	GO:1904748	regulation of apoptotic process involved in development	13/18614	0.009736709	0.056509889	0.028996063	FOXC1	1
BP	GO:1905699	regulation of xenobiotic detoxification by transmembrane export across the plasma membrane	13/18614	0.009736709	0.056509889	0.028996063	MIR186	1
BP	GO:1905700	negative regulation of xenobiotic detoxification by transmembrane export across the plasma membrane	13/18614	0.009736709	0.056509889	0.028996063	MIR186	1
BP	GO:1905874	regulation of postsynaptic density organization	13/18614	0.009736709	0.056509889	0.028996063	CDH2	1
BP	GO:1905939	regulation of gonad development	13/18614	0.009736709	0.056509889	0.028996063	CITED2	1
BP	GO:2001024	negative regulation of response to drug	13/18614	0.009736709	0.056509889	0.028996063	MIR186	1
BP	GO:0051216	cartilage development	203/18614	0.009879997	0.056980866	0.029237728	HMGA2/SRF	2
BP	GO:0043922	negative regulation by host of viral transcription	14/18614	0.010482029	0.058494321	0.030014305	HMGA2	1
BP	GO:0045059	positive thymic T cell selection	14/18614	0.010482029	0.058494321	0.030014305	SRF	1
BP	GO:0060019	radial glial cell differentiation	14/18614	0.010482029	0.058494321	0.030014305	CDH2	1
BP	GO:0061029	eyelid development in camera-type eye	14/18614	0.010482029	0.058494321	0.030014305	SRF	1
BP	GO:1903909	regulation of receptor clustering	14/18614	0.010482029	0.058494321	0.030014305	CRKL	1
BP	GO:0045216	cell-cell junction organization	214/18614	0.010930881	0.058494321	0.030014305	CDH2/SRF	2
BP	GO:0009612	response to mechanical stimulus	215/18614	0.01102879	0.058494321	0.030014305	CDH2/CITED2	2
BP	GO:0010989	negative regulation of low-density lipoprotein particle clearance	15/18614	0.011226827	0.058494321	0.030014305	MIR148A	1
BP	GO:0035358	regulation of peroxisome proliferator activated receptor signaling pathway	15/18614	0.011226827	0.058494321	0.030014305	CITED2	1
BP	GO:0048368	lateral mesoderm development	15/18614	0.011226827	0.058494321	0.030014305	CITED2	1
BP	GO:0060347	heart trabecula formation	15/18614	0.011226827	0.058494321	0.030014305	SRF	1
BP	GO:0061307	cardiac neural crest cell differentiation involved in heart development	15/18614	0.011226827	0.058494321	0.030014305	CITED2	1
BP	GO:0061308	cardiac neural crest cell development involved in heart development	15/18614	0.011226827	0.058494321	0.030014305	CITED2	1
BP	GO:0070986	left/right axis specification	15/18614	0.011226827	0.058494321	0.030014305	CITED2	1
BP	GO:0098760	response to interleukin-7	15/18614	0.011226827	0.058494321	0.030014305	CRKL	1
BP	GO:0098761	cellular response to interleukin-7	15/18614	0.011226827	0.058494321	0.030014305	CRKL	1
BP	GO:2001023	regulation of response to drug	15/18614	0.011226827	0.058494321	0.030014305	MIR186	1
BP	GO:0038092	nodal signaling pathway	16/18614	0.011971105	0.06098613	0.031292889	CITED2	1
BP	GO:0044849	estrous cycle	16/18614	0.011971105	0.06098613	0.031292889	CYP1B1	1
BP	GO:0045869	negative regulation of single stranded viral RNA replication via double stranded DNA intermediate	16/18614	0.011971105	0.06098613	0.031292889	HMGA2	1
BP	GO:0097091	synaptic vesicle clustering	16/18614	0.011971105	0.06098613	0.031292889	CDH2	1
BP	GO:0048705	skeletal system morphogenesis	229/18614	0.012440575	0.063027665	0.032340431	CITED2/FOXC1	2
BP	GO:0009404	toxin metabolic process	17/18614	0.012714863	0.063367006	0.032514552	CYP1B1	1
BP	GO:0061548	ganglion development	17/18614	0.012714863	0.063367006	0.032514552	CYP1B1	1
BP	GO:1902036	regulation of hematopoietic stem cell differentiation	17/18614	0.012714863	0.063367006	0.032514552	FOXC1	1
BP	GO:0051403	stress-activated MAPK cascade	237/18614	0.013281339	0.06394341	0.032810313	MAP3K20/CRKL	2
BP	GO:0001946	lymphangiogenesis	18/18614	0.0134581	0.06394341	0.032810313	FOXC1	1
BP	GO:0019373	epoxygenase P450 pathway	18/18614	0.0134581	0.06394341	0.032810313	CYP1B1	1
BP	GO:0032354	response to follicle-stimulating hormone	18/18614	0.0134581	0.06394341	0.032810313	CYP1B1	1
BP	GO:0042574	retinal metabolic process	18/18614	0.0134581	0.06394341	0.032810313	CYP1B1	1
BP	GO:0048339	paraxial mesoderm development	18/18614	0.0134581	0.06394341	0.032810313	FOXC1	1
BP	GO:0060044	negative regulation of cardiac muscle cell proliferation	18/18614	0.0134581	0.06394341	0.032810313	CITED2	1
BP	GO:0061298	retina vasculature development in camera-type eye	18/18614	0.0134581	0.06394341	0.032810313	CYP1B1	1
BP	GO:1901978	positive regulation of cell cycle checkpoint	18/18614	0.0134581	0.06394341	0.032810313	MAP3K20	1
BP	GO:0031098	stress-activated protein kinase signaling cascade	245/18614	0.014146501	0.065437943	0.03357718	MAP3K20/CRKL	2
BP	GO:0010002	cardioblast differentiation	19/18614	0.014200819	0.065437943	0.03357718	SRF	1
BP	GO:0045091	regulation of single stranded viral RNA replication via double stranded DNA intermediate	19/18614	0.014200819	0.065437943	0.03357718	HMGA2	1
BP	GO:0045618	positive regulation of keratinocyte differentiation	19/18614	0.014200819	0.065437943	0.03357718	FOXC1	1
BP	GO:0055003	cardiac myofibril assembly	19/18614	0.014200819	0.065437943	0.03357718	SRF	1
BP	GO:0060438	trachea development	19/18614	0.014200819	0.065437943	0.03357718	SRF	1
BP	GO:0033002	muscle cell proliferation	249/18614	0.014588143	0.066842669	0.034297966	CITED2/FOXC1	2
BP	GO:0039692	single stranded viral RNA replication via double stranded DNA intermediate	20/18614	0.014943017	0.066842669	0.034297966	HMGA2	1
BP	GO:0042953	lipoprotein transport	20/18614	0.014943017	0.066842669	0.034297966	MIR148A	1
BP	GO:0071371	cellular response to gonadotropin stimulus	20/18614	0.014943017	0.066842669	0.034297966	CYP1B1	1
BP	GO:1900221	regulation of amyloid-beta clearance	20/18614	0.014943017	0.066842669	0.034297966	SRF	1
BP	GO:1903975	regulation of glial cell migration	20/18614	0.014943017	0.066842669	0.034297966	CRKL	1
BP	GO:0002089	lens morphogenesis in camera-type eye	21/18614	0.015684697	0.068165249	0.034976602	CITED2	1
BP	GO:0010224	response to UV-B	21/18614	0.015684697	0.068165249	0.034976602	MAP3K20	1
BP	GO:0010985	negative regulation of lipoprotein particle clearance	21/18614	0.015684697	0.068165249	0.034976602	MIR148A	1
BP	GO:0044872	lipoprotein localization	21/18614	0.015684697	0.068165249	0.034976602	MIR148A	1
BP	GO:0090370	negative regulation of cholesterol efflux	21/18614	0.015684697	0.068165249	0.034976602	MIR148A	1
BP	GO:2000738	positive regulation of stem cell differentiation	21/18614	0.015684697	0.068165249	0.034976602	FOXC1	1
BP	GO:0001894	tissue homeostasis	263/18614	0.016180873	0.069094095	0.035453206	SRF/FOXC1	2
BP	GO:0060249	anatomical structure homeostasis	263/18614	0.016180873	0.069094095	0.035453206	SRF/FOXC1	2
BP	GO:0007530	sex determination	22/18614	0.016425859	0.069094095	0.035453206	CITED2	1
BP	GO:0010988	regulation of low-density lipoprotein particle clearance	22/18614	0.016425859	0.069094095	0.035453206	MIR148A	1
BP	GO:0030220	platelet formation	22/18614	0.016425859	0.069094095	0.035453206	SRF	1
BP	GO:0045061	thymic T cell selection	22/18614	0.016425859	0.069094095	0.035453206	SRF	1
BP	GO:1902894	negative regulation of miRNA transcription	22/18614	0.016425859	0.069094095	0.035453206	SRF	1
BP	GO:0035855	megakaryocyte development	23/18614	0.017166502	0.069963033	0.035899071	SRF	1
BP	GO:0035988	chondrocyte proliferation	23/18614	0.017166502	0.069963033	0.035899071	HMGA2	1
BP	GO:0036303	lymph vessel morphogenesis	23/18614	0.017166502	0.069963033	0.035899071	FOXC1	1
BP	GO:0046716	muscle cell cellular homeostasis	23/18614	0.017166502	0.069963033	0.035899071	SRF	1
BP	GO:0097150	neuronal stem cell population maintenance	23/18614	0.017166502	0.069963033	0.035899071	CDH2	1
BP	GO:1900120	regulation of receptor binding	23/18614	0.017166502	0.069963033	0.035899071	MIR148A	1
BP	GO:2000629	negative regulation of miRNA metabolic process	23/18614	0.017166502	0.069963033	0.035899071	SRF	1
BP	GO:0071560	cellular response to transforming growth factor beta stimulus	274/18614	0.01748286	0.070624592	0.036238527	CRKL/CITED2	2
BP	GO:1901988	negative regulation of cell cycle phase transition	274/18614	0.01748286	0.070624592	0.036238527	MAP3K20/CCNG1	2
BP	GO:0061448	connective tissue development	275/18614	0.017603401	0.070777488	0.03631698	HMGA2/SRF	2
BP	GO:0003323	type B pancreatic cell development	24/18614	0.017906627	0.070777488	0.03631698	CDH2	1
BP	GO:0035357	peroxisome proliferator activated receptor signaling pathway	24/18614	0.017906627	0.070777488	0.03631698	CITED2	1
BP	GO:0036344	platelet morphogenesis	24/18614	0.017906627	0.070777488	0.03631698	SRF	1
BP	GO:1990961	xenobiotic detoxification by transmembrane export across the plasma membrane	24/18614	0.017906627	0.070777488	0.03631698	MIR186	1
BP	GO:0071559	response to transforming growth factor beta	280/18614	0.018211506	0.071673609	0.036776793	CRKL/CITED2	2
BP	GO:0043542	endothelial cell migration	283/18614	0.018580671	0.072145981	0.037019174	SRF/CYP1B1	2
BP	GO:0046697	decidualization	25/18614	0.018646235	0.072145981	0.037019174	CITED2	1
