node,label
hsa-mir-519d,1
hsa-mir-4700,1
hsa-mir-500a,1
hsa-mir-184,1
hsa-mir-22,1
hsa-mir-16,1
hsa-mir-324,1
hsa-mir-490,1
hsa-mir-431,1
hsa-mir-224,1
hsa-mir-363,1
hsa-mir-27a,1
hsa-mir-133a,1
hsa-mir-376a,1
hsa-mir-3619,1
hsa-mir-370,1
hsa-mir-299,1
hsa-mir-1301,1
hsa-mir-212,1
hsa-mir-527,1
hsa-mir-885,1
hsa-mir-195,1
hsa-mir-140,1
hsa-mir-20a,1
hsa-mir-519e,1
hsa-mir-3972,1
MACC1,1
H19,1
HOTAIR,1
EZH2,1
MET,1
FGFR2,1
MALAT1,1
TUG1,1
XIST,1
NEAT1,1
SNHG12,1
UCA1,1
TP73-AS1,1
HNF1A-AS1,1
KCNQ1OT1,1
AFAP1-AS1,1
PTEN,1
FBXW7,1
RB1,1
APC,1
PIK3R1,1
KRAS,1
BCL9,1
PTPRD,1
SMAD4,1
TET1,1
CTNNB1,1
FOXO1,1
PVT1,1
SNHG5,1
GAS5,1
HOXA11-AS,1
FER1L4,1
MEG3,1
LINC01234,1
MIAT,1
SMARCC2,1
SNHG6,1
LINC01133,1
FGD5-AS1,1
OIP5-AS1,1
TMPO-AS1,1
HCP5,1
MIR99AHG,1
HCG18,1
HCG11,1
LINC00665,1
FENDRR,1
NKX2-1-AS1,1
HOXA-AS3,1
SNHG11,1
PINK1-AS,1
LINC00473,1
CYTOR,1
CA3-AS1,1
LBX2-AS1,1
LIFR-AS1,1
LINC00200,1
LINC00858,1
LINC01089,1
LINC01503,1
SNHG3,1
SNHG4,1
SNHG7,1
TMEM87A,1
CASC9,1
DRAIC,1
LINC00184,1
MSC-AS1,1
LINC00963,1
LINC-ROR,1
LINC00242,1
LINC00511,1
MIR503HG,1
NR2F1-AS1,1
RGMB-AS1,1
IGF2-AS,1
LINC01320,1
UBE2CP3,1
DLEU2,1
TUSC7,1
CircHIPK3,1
CircNFATC3,1
BLACAT2,1
BX357664,1
hsa_circ_0000117,1
CircBFAR,1
hsa_circ_0004872,1
HIF1A-AS2,1
CircLMO7,1
circEVI5,1
CDR1as,1
CCAT1,1
LOC100505817,1
ASNR,1
ATG5,1
hsa-mir-675,1
hsa-mir-331,1
hsa-mir-152,1
hsa-mir-125b,1
hsa-mir-34c,1
hsa-mir-206,1
hsa-mir-1207,1
hsa-mir-532,1
hsa-mir-204,1
hsa-mir-214,1
hsa-mir-506,1
hsa-mir-425,1
hsa-mir-199a,1
hsa-mir-199b,1
hsa-mir-574,1
hsa-mir-770,1
hsa-mir-129,1
hsa-mir-661,1
hsa-mir-940,1
hsa-mir-1193,1
hsa-mir-337,1
hsa-mir-149,1
hsa-mir-193b,1
hsa-mir-513a,1
hsa-mir-139,1
hsa-mir-197,1
hsa-mir-4319,1
hsa-mir-138,1
hsa-mir-483,1
hsa-mir-485,1
hsa-mir-18a,1
hsa-mir-4698,1
hsa-mir-612,1
hsa-mir-4793,1
hsa-mir-493,1
hsa-mir-326,1
hsa-mir-205,1
LINC00473,1
